Ref,Val,Package,PosX,PosY,Rot,Side
"D61","D_Small","D_SOD-123-Pretty",13.180550,-18.912600,90.000000,bottom
"D62","D_Small","D_SOD-123-Pretty",-9.250700,-18.912600,90.000000,bottom
"D63","D_Small","D_SOD-123-Pretty",-28.300700,-18.912600,90.000000,bottom
"D64","D_Small","D_SOD-123-Pretty",-47.350700,-18.912600,90.000000,bottom
"D65","D_Small","D_SOD-123-Pretty",-66.400700,-18.912600,90.000000,bottom
"D66","D_Small","D_SOD-123-Pretty",-83.450700,-18.912600,90.000000,bottom
"D67","D_Small","D_SOD-123-Pretty",-133.126500,-37.988000,90.000000,bottom
"D68","D_Small","D_SOD-123-Pretty",-152.176500,-37.988000,90.000000,bottom
"D69","D_Small","D_SOD-123-Pretty",-171.226500,-37.988000,90.000000,bottom
"D70","D_Small","D_SOD-123-Pretty",-190.276500,-37.988000,90.000000,bottom
"D71","D_Small","D_SOD-123-Pretty",-209.326500,-37.988000,90.000000,bottom
"D72","D_Small","D_SOD-123-Pretty",-235.520250,-37.988000,90.000000,bottom
"D73","D_Small","D_SOD-123-Pretty",-266.413000,-42.737800,90.000000,bottom
"D74","D_Small","D_SOD-123-Pretty",-287.289000,-37.988000,90.000000,bottom
"D75","D_Small","D_SOD-123-Pretty",71.711800,-37.962600,90.000000,bottom
"D76","D_Small","D_SOD-123-Pretty",52.661800,-37.962600,90.000000,bottom
"D77","D_Small","D_SOD-123-Pretty",14.180550,-37.962600,90.000000,bottom
"D78","D_Small","D_SOD-123-Pretty",-18.775700,-37.962600,90.000000,bottom
"D79","D_Small","D_SOD-123-Pretty",-37.825700,-37.962600,90.000000,bottom
"D80","D_Small","D_SOD-123-Pretty",-56.875700,-37.962600,90.000000,bottom
"D81","D_Small","D_SOD-123-Pretty",-75.925700,-37.962600,90.000000,bottom
"D82","D_Small","D_SOD-123-Pretty",-92.975700,-37.962600,90.000000,bottom
"D83","PRTR5V0U2X","SOT-143",-229.362000,60.706000,0.000000,bottom
"D84","D_Small","D_SOD-123-Pretty",-147.414000,-56.038000,90.000000,bottom
"D85","D_Small","D_SOD-123-Pretty",-185.514000,-56.038000,90.000000,bottom
"D86","D_Small","D_SOD-123-Pretty",-204.564000,-56.038000,90.000000,bottom
"D87","D_Small","D_SOD-123-Pretty",-223.614000,-56.038000,90.000000,bottom
"D88","D_Small","D_SOD-123-Pretty",-247.363000,-60.787800,90.000000,bottom
"D89","D_Small","D_SOD-123-Pretty",-266.413000,-60.787800,90.000000,bottom
"D90","D_Small","D_SOD-123-Pretty",-282.463000,-61.287800,90.000000,bottom
"D91","D_Small","D_SOD-123-Pretty",71.711800,-56.012600,90.000000,bottom
"D92","D_Small","D_SOD-123-Pretty",52.661800,-56.012600,90.000000,bottom
"D93","D_Small","D_SOD-123-Pretty",19.324300,-56.012600,90.000000,bottom
"D94","D_Small","D_SOD-123-Pretty",-4.488200,-56.012600,90.000000,bottom
"D95","D_Small","D_SOD-123-Pretty",-28.300700,-56.012600,90.000000,bottom
"D96","D_Small","D_SOD-123-Pretty",-71.163200,-56.012600,90.000000,bottom
"F1","Polyfuse_Small","Fuse_0805_2012Metric",20.066000,56.388000,-90.000000,bottom
"F2","Polyfuse_Small","Fuse_0805_2012Metric",-235.712000,58.420000,0.000000,bottom
"R1","5.1k","R_0805_2012Metric",25.654000,60.452000,-90.000000,bottom
"R2","5.1k","R_0805_2012Metric",17.526000,59.690000,-90.000000,bottom
"R3","5.1k","R_0805_2012Metric",-225.552000,60.706000,-90.000000,bottom
"R4","5.1k","R_0805_2012Metric",-232.918000,60.325000,-90.000000,bottom
"R5","10k","R_0805_2012Metric",43.561000,35.687000,0.000000,bottom
"R6","10k","R_0805_2012Metric",-268.732000,-14.478000,0.000000,bottom
"R7","22","R_0805_2012Metric",52.832000,42.037000,-90.000000,bottom
"R8","22","R_0805_2012Metric",-272.034000,5.969000,-90.000000,bottom
"R9","22","R_0805_2012Metric",50.805000,42.037000,-90.000000,bottom
"R10","22","R_0805_2012Metric",-270.002000,5.969000,-90.000000,bottom
"R11","10k","R_0805_2012Metric",68.199000,24.892000,135.000000,bottom
"R12","10k","R_0805_2012Metric",-254.508000,-0.889000,90.000000,bottom
"U1","TRRS","TRRS-PJ-320A",6.096000,69.850000,180.000000,bottom
"U2","TRRS","TRRS-PJ-320A",-214.122000,69.850000,180.000000,bottom
"U3","ATmega32U4-AU","QFN_TQFP-44_Combined",56.528555,28.067000,-135.000000,bottom
"U4","ATmega32U4-AU","QFN_TQFP-44_Combined",-262.367000,-6.441200,180.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12",21.209000,71.882000,0.000000,bottom
"USB2","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12",-229.108000,71.882000,0.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",48.146555,19.939000,-135.000000,bottom
"Y2","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",-263.525000,-17.907000,180.000000,bottom
"JP1","Jumper","ResetJumper",-43.307000,38.608000,0.000000,top
"JP2","Jumper","ResetJumper",267.081000,-24.257000,0.000000,top
"MX1","Esc","MXOnly-1U-NoLED",-34.086800,49.999900,0.000000,top
"MX2","F1","MXOnly-1U-NoLED",-10.274300,49.999900,0.000000,top
"MX3","F2","MXOnly-1U-NoLED",8.775700,49.999900,0.000000,top
"MX4","F3","MXOnly-1U-NoLED",27.825700,49.999900,0.000000,top
"MX5","F4","MXOnly-1U-NoLED",46.875700,49.999900,0.000000,top
"MX6","F5","MXOnly-1U-NoLED",70.688200,49.999900,0.000000,top
"MX7","F6","MXOnly-1U-NoLED",89.738200,49.999900,0.000000,top
"MX8","F7","MXOnly-1U-NoLED",127.889000,50.038000,0.000000,top
"MX9","F8","MXOnly-1U-NoLED",146.939000,50.038000,0.000000,top
"MX10","F9","MXOnly-1U-NoLED",170.751500,50.038000,0.000000,top
"MX11","F10","MXOnly-1U-NoLED",189.801500,50.038000,0.000000,top
"MX12","F11","MXOnly-1U-NoLED",208.851500,50.038000,0.000000,top
"MX13","F12","MXOnly-1U-NoLED",227.901500,50.038000,0.000000,top
"MX14","Pause","MXOnly-1U-NoLED",251.714000,50.038000,0.000000,top
"MX15","Delete","MXOnly-1U-NoLED",280.289000,50.038000,0.000000,top
"MX16","Esc","MXOnly-1U-Hotswap-NoSilk",-34.086800,49.999900,180.000000,top
"MX17","F1","MXOnly-1U-Hotswap-NoSilk",-10.274300,49.999900,180.000000,top
"MX18","F2","MXOnly-1U-Hotswap-NoSilk",8.775700,49.999900,180.000000,top
"MX19","F3","MXOnly-1U-Hotswap-NoSilk",27.825700,49.999900,180.000000,top
"MX20","F4","MXOnly-1U-Hotswap-NoSilk",46.875700,49.999900,180.000000,top
"MX21","F5","MXOnly-1U-Hotswap-NoSilk",70.688200,49.999900,180.000000,top
"MX22","F6","MXOnly-1U-Hotswap-NoSilk",89.738200,49.999900,180.000000,top
"MX23","F7","MXOnly-1U-Hotswap-NoSilk",127.889000,50.038000,180.000000,top
"MX24","F8","MXOnly-1U-Hotswap-NoSilk",146.939000,50.038000,180.000000,top
"MX25","F9","MXOnly-1U-Hotswap-NoSilk",170.751500,50.038000,180.000000,top
"MX26","F10","MXOnly-1U-Hotswap-NoSilk",189.801500,50.038000,180.000000,top
"MX27","F11","MXOnly-1U-Hotswap-NoSilk",208.851500,50.038000,180.000000,top
"MX28","F12","MXOnly-1U-Hotswap-NoSilk",227.901500,50.038000,180.000000,top
"MX29","Pause","MXOnly-1U-Hotswap-NoSilk",251.714000,50.038000,180.000000,top
"MX30","Delete","MXOnly-1U-Hotswap-NoSilk",280.289000,50.038000,180.000000,top
"MX31","`","MXOnly-1U-NoLED",-34.086800,26.187400,0.000000,top
"MX32","1","MXOnly-1U-NoLED",-15.036800,26.187400,0.000000,top
"MX33","2","MXOnly-1U-NoLED",4.013200,26.187400,0.000000,top
"MX34","3","MXOnly-1U-NoLED",23.063200,26.187400,0.000000,top
"MX35","4","MXOnly-1U-NoLED",42.113200,26.187400,0.000000,top
"MX36","5","MXOnly-1U-NoLED",61.163200,26.187400,0.000000,top
"MX37","6","MXOnly-1U-NoLED",80.213200,26.187400,0.000000,top
"MX38","7","MXOnly-1U-NoLED",118.364000,26.162000,0.000000,top
"MX39","8","MXOnly-1U-NoLED",137.414000,26.162000,0.000000,top
"MX40","9","MXOnly-1U-NoLED",156.464000,26.162000,0.000000,top
"MX41","0","MXOnly-1U-NoLED",175.514000,26.162000,0.000000,top
"MX42","-","MXOnly-1U-NoLED",194.564000,26.162000,0.000000,top
"MX43","\","MXOnly-1U-NoLED",232.664000,26.162000,0.000000,top
"MX43","=","MXOnly-1U-NoLED",213.614000,26.162000,0.000000,top
"MX44","Delete","MXOnly-1U-NoLED",251.714000,26.162000,0.000000,top
"MX45","Backspace","MXOnly-2U-NoLED",242.189000,26.162000,0.000000,top
"MX47","Home","MXOnly-1U-NoLED",280.289000,26.162000,0.000000,top
"MX48","`","MXOnly-1U-Hotswap-NoSilk",-34.086800,26.187400,180.000000,top
"MX49","1","MXOnly-1U-Hotswap-NoSilk",-15.036800,26.187400,180.000000,top
"MX50","2","MXOnly-1U-Hotswap-NoSilk",4.013200,26.187400,180.000000,top
"MX51","3","MXOnly-1U-Hotswap-NoSilk",23.063200,26.187400,180.000000,top
"MX52","4","MXOnly-1U-Hotswap-NoSilk",42.113200,26.187400,180.000000,top
"MX53","5","MXOnly-1U-Hotswap-NoSilk",61.163200,26.187400,180.000000,top
"MX54","6","MXOnly-1U-Hotswap-NoSilk",80.213200,26.187400,180.000000,top
"MX55","7","MXOnly-1U-Hotswap-NoSilk",118.364000,26.162000,180.000000,top
"MX56","8","MXOnly-1U-Hotswap-NoSilk",137.414000,26.162000,180.000000,top
"MX57","9","MXOnly-1U-Hotswap-NoSilk",156.464000,26.162000,180.000000,top
"MX58","0","MXOnly-1U-Hotswap-NoSilk",175.514000,26.162000,180.000000,top
"MX59","-","MXOnly-1U-Hotswap-NoSilk",194.564000,26.162000,180.000000,top
"MX60","=","MXOnly-1U-Hotswap-NoSilk",213.614000,26.162000,180.000000,top
"MX61","Backspace","MXOnly-2U-Hotswap-NoSilk",242.189000,26.162000,180.000000,top
"MX62","Home","MXOnly-1U-Hotswap-NoSilk",280.289000,26.162000,180.000000,top
"MX63","Y","MXOnly-1U-NoLED",108.839000,7.112000,0.000000,top
"MX64","U","MXOnly-1U-NoLED",127.889000,7.112000,0.000000,top
"MX65","I","MXOnly-1U-NoLED",146.939000,7.112000,0.000000,top
"MX66","O","MXOnly-1U-NoLED",165.989000,7.112000,0.000000,top
"MX67","P","MXOnly-1U-NoLED",185.039000,7.112000,0.000000,top
"MX68","[","MXOnly-1U-NoLED",204.089000,7.112000,0.000000,top
"MX69","]","MXOnly-1U-NoLED",223.139000,7.112000,0.000000,top
"MX70","\","MXOnly-1.5U-NoLED",246.951500,7.112000,0.000000,top
"MX71","Pg Up","MXOnly-1U-NoLED",280.289000,7.112000,0.000000,top
"MX72","Print","MXOnly-1U-NoLED",-81.711800,7.137400,0.000000,top
"MX73","Scroll","MXOnly-1U-NoLED",-62.661800,7.137400,0.000000,top
"MX74","Tab","MXOnly-1.5U-NoLED",-29.324300,7.137400,0.000000,top
"MX75","Q","MXOnly-1U-NoLED",-5.511800,7.137400,0.000000,top
"MX76","W","MXOnly-1U-NoLED",13.538200,7.137400,0.000000,top
"MX77","E","MXOnly-1U-NoLED",32.588200,7.137400,0.000000,top
"MX78","R","MXOnly-1U-NoLED",51.638200,7.137400,0.000000,top
"MX79","T","MXOnly-1U-NoLED",70.688200,7.137400,0.000000,top
"MX80","Y","MXOnly-1U-Hotswap-NoSilk",108.839000,7.112000,180.000000,top
"MX81","U","MXOnly-1U-Hotswap-NoSilk",127.889000,7.112000,180.000000,top
"MX82","I","MXOnly-1U-Hotswap-NoSilk",146.939000,7.112000,180.000000,top
"MX83","O","MXOnly-1U-Hotswap-NoSilk",165.989000,7.112000,180.000000,top
"MX84","P","MXOnly-1U-Hotswap-NoSilk",185.039000,7.112000,180.000000,top
"MX85","[","MXOnly-1U-Hotswap-NoSilk",204.089000,7.112000,180.000000,top
"MX86","]","MXOnly-1U-Hotswap-NoSilk",223.139000,7.112000,180.000000,top
"MX87","\","MXOnly-1.5U-Hotswap-NoSilk",246.951500,7.112000,180.000000,top
"MX88","Pg Up","MXOnly-1U-Hotswap-NoSilk",280.289000,7.112000,180.000000,top
"MX89","Print","MXOnly-1U-Hotswap-NoSilk",-81.711800,7.137400,180.000000,top
"MX90","Scroll","MXOnly-1U-Hotswap-NoSilk",-62.661800,7.137400,180.000000,top
"MX91","Tab","MXOnly-1.5U-Hotswap-NoSilk",-29.324300,7.137400,180.000000,top
"MX92","Q","MXOnly-1U-Hotswap-NoSilk",-5.511800,7.137400,180.000000,top
"MX93","W","MXOnly-1U-Hotswap-NoSilk",13.538200,7.137400,180.000000,top
"MX94","E","MXOnly-1U-Hotswap-NoSilk",32.588200,7.137400,180.000000,top
"MX95","R","MXOnly-1U-Hotswap-NoSilk",51.638200,7.137400,180.000000,top
"MX96","T","MXOnly-1U-Hotswap-NoSilk",70.688200,7.137400,180.000000,top
"MX97","H","MXOnly-1U-NoLED",113.601500,-11.938000,0.000000,top
"MX98","J","MXOnly-1U-NoLED",132.651500,-11.938000,0.000000,top
"MX99","K","MXOnly-1U-NoLED",151.701500,-11.938000,0.000000,top
"MX100","L","MXOnly-1U-NoLED",170.751500,-11.938000,0.000000,top
"MX101",";","MXOnly-1U-NoLED",189.801500,-11.938000,0.000000,top
"MX102","'","MXOnly-1U-NoLED",208.851500,-11.938000,0.000000,top
"MX103","Enter","MXOnly-2.25U-NoLED",239.807750,-11.938000,0.000000,top
"MX104","Pg Dn","MXOnly-1U-NoLED",280.289000,-11.938000,0.000000,top
"MX105","Insert","MXOnly-1U-NoLED",-81.711800,-11.912600,0.000000,top
"MX106","Menu","MXOnly-1U-NoLED",-62.661800,-11.912600,0.000000,top
"MX107","Caps","MXOnly-1.75U-NoLED",-26.943050,-11.912600,0.000000,top
"MX108","Caps","MXOnly-1.25U-NoLED",-22.180550,-11.912600,0.000000,top
"MX109","A","MXOnly-1U-NoLED",-0.749300,-11.912600,0.000000,top
"MX110","S","MXOnly-1U-NoLED",18.300700,-11.912600,0.000000,top
